Model,Location,mAP50,mAP50-95,Precision,Recall,FPS (avg),Latency ms,GPU Util %,CPU Util %,RAM (GB),Power (W),Temp (?C),Params (M),Model Size (MB),GFLOPs,Reduction vs Baseline (%),Validation2 Location,Validation2 mAP50,Validation2 mAP50-95,Validation2 Precision,Validation2 Recall
11s_DS3_p90.pt,research/object/11s_DS3/pruning/90/11s_DS3_p90.pt_benchmark.json,0.978743,0.892088,0.990284,0.966003,10.07,99.30,78.51,7.00,3.12,13.09,57.40,,,,,,,,,
11s_DS3_p90_fp16.engine,research/object/11s_DS3/pruning_quantization/90/FP16/11s_DS3_p90_fp16.engine_benchmark.json,0.979347,0.856635,0.987985,0.975218,26.89,37.18,61.47,8.16,3.21,11.87,55.65,,,,,,,,,
11s_DS3_p90_int8.engine,research/object/11s_DS3/pruning_quantization/90/INT8/11s_DS3_p90_int8.engine_benchmark.json,0.976495,0.807977,0.981348,0.963806,37.48,26.68,47.12,9.98,3.14,10.07,54.65,,,,,,,,,
26l_DS3_p70.engine,research/object/26l/pruning/70/26l_DS3_p70.engine_benchmark.json,0.978270,0.892399,0.990117,0.976355,6.94,144.02,90.04,2.54,3.27,15.32,60.66,,,,,,,,,
26l_DS3_p70.pt,research/object/26l/pruning/70/26l_DS3_p70.pt_benchmark.json,0.978519,0.894928,0.989391,0.973601,4.19,238.82,92.71,4.09,3.67,14.70,59.52,,,,,,,,,
26l_DS3_p70_fp16.engine,research/object/26l/pruning_quantization/70/FP16/26l_DS3_p70_fp16.engine_benchmark.json,0.978223,0.882192,0.990186,0.976355,15.00,66.66,77.09,4.79,3.12,14.54,59.28,,,,,,,,,
26l_DS3_p70_int8.engine,research/object/26l/pruning_quantization/70/INT8/26l_DS3_p70_int8.engine_benchmark.json,0.975606,0.838757,0.970901,0.940405,20.34,49.18,77.91,5.91,3.01,12.85,58.66,,,,,,,,,
26l_DS3_p80.engine,research/object/26l/pruning/80/26l_DS3_p80.engine_benchmark.json,0.978596,0.899262,0.989589,0.974655,6.71,149.05,87.55,2.50,3.27,15.22,60.88,,,,,,,,,
26l_DS3_p80.pt,research/object/26l/pruning/80/26l_DS3_p80.pt_benchmark.json,0.978266,0.903893,0.992596,0.966514,4.11,243.51,92.90,3.97,3.64,14.71,59.75,,,,,,,,,
26l_DS3_p80_fp16.engine,research/object/26l/pruning_quantization/80/FP16/26l_DS3_p80_fp16.engine_benchmark.json,0.978584,0.890574,0.989245,0.973734,14.75,67.78,77.71,4.74,3.10,14.53,59.39,,,,,,,,,
26l_DS3_p80_int8.engine,research/object/26l/pruning_quantization/80/INT8/26l_DS3_p80_int8.engine_benchmark.json,0.973404,0.849758,0.969819,0.967273,19.89,50.29,69.65,5.89,3.03,12.90,58.74,,,,,,,,,
26l_DS3_p90.engine,research/object/26l/pruning/90/26l_DS3_p90.engine_benchmark.json,0.986986,0.899507,0.981104,0.984667,6.78,147.49,86.97,2.51,3.26,15.32,60.80,,,,,,,,,
26l_DS3_p90.pt,research/object/26l/pruning/90/26l_DS3_p90.pt_benchmark.json,0.986357,0.904127,0.980291,0.985516,4.08,245.27,92.23,4.10,3.64,14.75,60.03,,,,,,,,,
26l_DS3_p90_fp16.engine,research/object/26l/pruning_quantization/90/FP16/26l_DS3_p90_fp16.engine_benchmark.json,0.986940,0.889551,0.981605,0.986683,14.97,66.81,70.81,4.84,3.12,14.70,59.64,,,,,,,,,
26l_DS3_p90_int8.engine,research/object/26l/pruning_quantization/90/INT8/26l_DS3_p90_int8.engine_benchmark.json,0.986001,0.843168,0.955072,0.985770,20.24,49.41,71.20,5.84,3.04,12.81,58.23,,,,,,,,,
26m_DS3_p80.engine,research/object/26m/pruning/80/26m_DS3_p80.engine_benchmark.json,0.977616,0.912716,0.993751,0.957737,8.12,123.15,82.79,2.87,3.11,15.03,60.03,,,,,,,,,
26m_DS3_p80.pt,research/object/26m/pruning/80/26m_DS3_p80.pt_benchmark.json,0.977375,0.914396,0.989158,0.957310,5.04,198.33,90.98,3.84,3.47,14.53,59.04,,,,,,,,,
26m_DS3_p80_fp16.engine,research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine_benchmark.json,0.977563,0.905039,0.993613,0.957428,17.65,56.65,68.68,5.37,2.99,14.55,58.99,,,,,,,,,
26m_DS3_p80_int8.engine,research/object/26m/pruning_quantization/80/INT8/26m_DS3_p80_int8.engine_benchmark.json,0.976584,0.832535,0.983752,0.947613,25.10,39.84,67.19,6.71,2.89,12.54,57.96,,,,,,,,,
