Model,Location,mAP50,mAP50-95,Precision,Recall,FPS (avg),Latency ms,GPU Util %,CPU Util %,RAM (GB),Power (W),Temp (?C),Params (M),Model Size (MB),GFLOPs,Reduction vs Baseline (%),Validation2 Location,Validation2 mAP50,Validation2 mAP50-95,Validation2 Precision,Validation2 Recall
26m_DS3_from_26l_640.engine,research/object/26m/distilled_input/640/26m_DS3_from_26l_640.engine_benchmark.json,0.948933,0.776566,0.995823,0.933954,26.61,37.58,64.61,6.94,3.74,12.91,56.91,,,,,,,,,
26m_DS3_from_26x_640.engine,research/object/26m/distilled_input/640/26m_DS3_from_26x_640.engine_benchmark.json,0.951317,0.769756,0.993073,0.931224,26.41,37.87,57.96,7.22,3.72,12.74,55.06,,,,,,,,,
26m_DS3_from_26l_768.engine,research/object/26m/distilled_input/768/26m_DS3_from_26l_768.engine_benchmark.json,0.971925,0.829373,0.967516,0.960537,18.03,55.45,69.36,6.28,3.77,13.29,57.88,,,,,,,,,
26m_DS3_from_26x_768.engine,research/object/26m/distilled_input/768/26m_DS3_from_26x_768.engine_benchmark.json,0.971819,0.826750,0.964994,0.939773,18.07,55.33,70.18,6.29,3.78,13.31,58.36,,,,,,,,,
26m_DS3_from_26l_960.engine,research/object/26m/distilled_input/960/26m_DS3_from_26l_960.engine_benchmark.json,0.979598,0.889525,0.997903,0.975192,12.25,81.60,68.13,5.01,3.80,14.25,58.93,,,,,,,,,
26m_DS3_from_26x_960.engine,research/object/26m/distilled_input/960/26m_DS3_from_26x_960.engine_benchmark.json,0.985322,0.891538,0.980447,0.974118,12.21,81.88,75.18,5.07,3.81,14.21,58.36,,,,,,,,,
26n_DS3_from_26l_640.engine,research/object/26n/distilled_input/640/26n_DS3_from_26l_640.engine_benchmark.json,0.920453,0.660733,0.980122,0.872285,70.31,14.22,34.08,12.87,3.71,8.37,50.48,,,,,,,,,
26n_DS3_from_26m_640.engine,research/object/26n/distilled_input/640/26n_DS3_from_26m_640.engine_benchmark.json,0.915962,0.673301,0.929314,0.906479,69.60,14.37,32.47,12.96,3.71,8.36,50.55,,,,,,,,,
26n_DS3_from_26s_640.engine,research/object/26n/distilled_input/640/26n_DS3_from_26s_640.engine_benchmark.json,0.922413,0.666558,0.977774,0.883245,70.25,14.23,34.95,12.88,3.71,8.39,51.05,,,,,,,,,
26n_DS3_from_26x_640.engine,research/object/26n/distilled_input/640/26n_DS3_from_26x_640.engine_benchmark.json,0.923197,0.680655,0.950933,0.910706,69.96,14.29,34.04,12.85,3.70,8.38,50.77,,,,,,,,,
26n_DS3_from_26l_768.engine,research/object/26n/distilled_input/768/26n_DS3_from_26l_768.engine_benchmark.json,0.942705,0.714238,0.987357,0.915848,44.93,22.26,35.59,12.09,3.69,8.66,51.70,,,,,,,,,
26n_DS3_from_26m_768.engine,research/object/26n/distilled_input/768/26n_DS3_from_26m_768.engine_benchmark.json,0.943234,0.729443,0.985747,0.924227,45.13,22.16,37.43,12.09,3.69,8.63,50.92,,,,,,,,,
26n_DS3_from_26s_768.engine,research/object/26n/distilled_input/768/26n_DS3_from_26s_768.engine_benchmark.json,0.942304,0.731426,0.987179,0.922704,44.79,22.33,36.48,12.09,3.69,8.65,50.86,,,,,,,,,
26n_DS3_from_26x_768.engine,research/object/26n/distilled_input/768/26n_DS3_from_26x_768.engine_benchmark.json,0.942787,0.738937,0.978369,0.937853,44.86,22.29,36.29,12.10,3.70,8.64,51.12,,,,,,,,,
26n_DS3_from_26l_960.engine,research/object/26n/distilled_input/960/26n_DS3_from_26l_960.engine_benchmark.json,0.942875,0.780202,0.991994,0.935734,32.31,30.95,37.76,10.75,3.77,9.51,52.81,,,,,,,,,
26n_DS3_from_26m_960.engine,research/object/26n/distilled_input/960/26n_DS3_from_26m_960.engine_benchmark.json,0.943035,0.793950,0.989624,0.936426,32.38,30.89,39.75,10.74,3.72,9.53,51.85,,,,,,,,,
26n_DS3_from_26s_960.engine,research/object/26n/distilled_input/960/26n_DS3_from_26s_960.engine_benchmark.json,0.942901,0.806644,0.992051,0.931730,32.38,30.89,44.95,10.76,3.70,9.52,52.61,,,,,,,,,
26n_DS3_from_26x_960.engine,research/object/26n/distilled_input/960/26n_DS3_from_26x_960.engine_benchmark.json,0.942011,0.795708,0.979600,0.932978,32.45,30.82,37.18,10.75,3.77,9.53,52.55,,,,,,,,,
26s_DS3_from_26l_640.engine,research/object/26s/distilled_input/640/26s_DS3_from_26l_640.engine_benchmark.json,0.944219,0.749234,0.980173,0.935023,45.22,22.11,45.33,10.39,3.75,10.05,54.56,,,,,,,,,
26s_DS3_from_26m_640.engine,research/object/26s/distilled_input/640/26s_DS3_from_26m_640.engine_benchmark.json,0.951709,0.767751,0.970217,0.934173,45.18,22.13,45.92,10.43,3.73,10.03,53.33,,,,,,,,,
26s_DS3_from_26x_640.engine,research/object/26s/distilled_input/640/26s_DS3_from_26x_640.engine_benchmark.json,0.944790,0.743093,0.973270,0.934584,46.11,21.69,49.96,9.95,3.73,10.40,53.42,,,,,,,,,
26s_DS3_from_26l_768.engine,research/object/26s/distilled_input/768/26s_DS3_from_26l_768.engine_benchmark.json,0.953024,0.804647,0.994844,0.939151,30.21,33.11,52.18,9.22,3.68,10.74,54.11,,,,,,,,,
26s_DS3_from_26m_768.engine,research/object/26s/distilled_input/768/26s_DS3_from_26m_768.engine_benchmark.json,0.963491,0.814640,0.990412,0.948777,30.12,33.20,53.12,9.23,3.75,10.71,54.15,,,,,,,,,
26s_DS3_from_26x_768.engine,research/object/26s/distilled_input/768/26s_DS3_from_26x_768.engine_benchmark.json,0.960935,0.803394,0.991519,0.936494,30.11,33.21,54.55,9.19,3.77,10.64,54.44,,,,,,,,,
26s_DS3_from_26l_960.engine,research/object/26s/distilled_input/960/26s_DS3_from_26l_960.engine_benchmark.json,0.976131,0.874038,0.981992,0.970993,20.91,47.82,60.99,7.76,3.72,11.73,54.95,,,,,,,,,
26s_DS3_from_26m_960.engine,research/object/26s/distilled_input/960/26s_DS3_from_26m_960.engine_benchmark.json,0.978167,0.881011,0.987905,0.970382,20.91,47.82,57.95,7.73,3.71,11.68,55.55,,,,,,,,,
26s_DS3_from_26x_960.engine,research/object/26s/distilled_input/960/26s_DS3_from_26x_960.engine_benchmark.json,0.965472,0.869952,0.987022,0.943198,20.93,47.77,57.91,7.75,3.71,11.71,55.45,,,,,,,,,
11n_pose_from_11l_640.engine,research/pose/11n-pose/distilled_input/640/11n_pose_from_11l_640.engine_benchmark.json,0.995000,0.895157,0.998175,1.000000,41.69,23.99,51.51,10.39,3.77,8.66,51.36,,,,,research/pose/11n-pose/distilled_input/640/11n_pose_from_11l_640_engine_validation2.json,0.995000,0.885947,0.999160,1.000000
11n_pose_from_11m_640.engine,research/pose/11n-pose/distilled_input/640/11n_pose_from_11m_640.engine_benchmark.json,0.995000,0.920142,0.998129,1.000000,40.45,24.72,50.89,10.16,3.76,8.58,51.18,,,,,research/pose/11n-pose/distilled_input/640/11n_pose_from_11m_640_engine_validation2.json,0.995000,0.910389,0.999139,1.000000
11n_pose_from_11s_640.engine,research/pose/11n-pose/distilled_input/640/11n_pose_from_11s_640.engine_benchmark.json,0.995000,0.908662,0.998122,1.000000,41.08,24.34,46.89,10.34,3.78,8.65,51.99,,,,,research/pose/11n-pose/distilled_input/640/11n_pose_from_11s_640_engine_validation2.json,0.995000,0.895519,0.999136,1.000000
11n_pose_from_11x_640.engine,research/pose/11n-pose/distilled_input/640/11n_pose_from_11x_640.engine_benchmark.json,0.995000,0.927229,0.998092,1.000000,41.21,24.27,49.60,10.25,3.75,8.63,51.12,,,,,research/pose/11n-pose/distilled_input/640/11n_pose_from_11x_640_engine_validation2.json,0.995000,0.913242,0.999120,1.000000
11n_pose_from_11l_768.engine,research/pose/11n-pose/distilled_input/768/11n_pose_from_11l_768.engine_benchmark.json,0.995000,0.940720,0.998202,1.000000,26.63,37.55,54.02,9.18,3.74,8.94,52.08,,,,,research/pose/11n-pose/distilled_input/768/11n_pose_from_11l_768_engine_validation2.json,0.995000,0.939665,0.999160,1.000000
11n_pose_from_11m_768.engine,research/pose/11n-pose/distilled_input/768/11n_pose_from_11m_768.engine_benchmark.json,0.995000,0.931155,0.998150,1.000000,25.91,38.59,54.98,8.87,3.73,8.87,51.87,,,,,research/pose/11n-pose/distilled_input/768/11n_pose_from_11m_768_engine_validation2.json,0.995000,0.921710,0.999149,1.000000
11n_pose_from_11s_768.engine,research/pose/11n-pose/distilled_input/768/11n_pose_from_11s_768.engine_benchmark.json,0.995000,0.952564,0.998177,1.000000,26.34,37.96,48.37,9.00,3.75,8.90,51.95,,,,,research/pose/11n-pose/distilled_input/768/11n_pose_from_11s_768_engine_validation2.json,0.995000,0.929392,0.999161,1.000000
11n_pose_from_11x_768.engine,research/pose/11n-pose/distilled_input/768/11n_pose_from_11x_768.engine_benchmark.json,0.995000,0.958159,0.998158,1.000000,26.34,37.97,59.71,8.95,3.74,8.91,51.91,,,,,research/pose/11n-pose/distilled_input/768/11n_pose_from_11x_768_engine_validation2.json,0.995000,0.935256,0.999152,1.000000
11n_pose_from_11l_960.engine,research/pose/11n-pose/distilled_input/960/11n_pose_from_11l_960.engine_benchmark.json,0.995000,0.960565,0.998171,1.000000,16.34,61.21,67.25,6.83,3.75,9.47,52.58,,,,,research/pose/11n-pose/distilled_input/960/11n_pose_from_11l_960_engine_validation2.json,0.995000,0.951824,0.999146,1.000000
11n_pose_from_11m_960.engine,research/pose/11n-pose/distilled_input/960/11n_pose_from_11m_960.engine_benchmark.json,0.995000,0.922824,0.998122,1.000000,15.69,63.75,69.36,6.58,3.75,9.32,52.38,,,,,research/pose/11n-pose/distilled_input/960/11n_pose_from_11m_960_engine_validation2.json,0.995000,0.912789,0.999136,1.000000
11n_pose_from_11s_960.engine,research/pose/11n-pose/distilled_input/960/11n_pose_from_11s_960.engine_benchmark.json,0.995000,0.955261,0.998187,1.000000,16.01,62.47,60.99,6.58,3.77,9.39,52.16,,,,,research/pose/11n-pose/distilled_input/960/11n_pose_from_11s_960_engine_validation2.json,0.995000,0.952596,0.999150,1.000000
11n_pose_from_11x_960.engine,research/pose/11n-pose/distilled_input/960/11n_pose_from_11x_960.engine_benchmark.json,0.995000,0.950924,0.998111,1.000000,15.84,63.14,64.57,6.64,3.75,9.36,52.48,,,,,research/pose/11n-pose/distilled_input/960/11n_pose_from_11x_960_engine_validation2.json,0.995000,0.948024,0.999122,1.000000
11s_pose_from_11l_640.engine,research/pose/11s-pose/distilled_input/640/11s_pose_from_11l_640.engine_benchmark.json,0.995000,0.919021,0.998133,1.000000,29.73,33.63,61.79,8.14,3.84,9.89,52.92,,,,,research/pose/11s-pose/distilled_input/640/11s_pose_from_11l_640_engine_validation2.json,0.995000,0.922849,0.999197,1.000000
11s_pose_from_11m_640.engine,research/pose/11s-pose/distilled_input/640/11s_pose_from_11m_640.engine_benchmark.json,0.995000,0.942448,0.998129,1.000000,29.94,33.40,57.30,8.29,3.87,9.93,53.05,,,,,research/pose/11s-pose/distilled_input/640/11s_pose_from_11m_640_engine_validation2.json,0.995000,0.933037,0.999183,1.000000
11s_pose_from_11l_768.engine,research/pose/11s-pose/distilled_input/768/11s_pose_from_11l_768.engine_benchmark.json,0.995000,0.961231,0.998156,1.000000,19.55,51.16,62.91,7.11,3.79,10.08,53.53,,,,,research/pose/11s-pose/distilled_input/768/11s_pose_from_11l_768_engine_validation2.json,0.995000,0.953721,0.999179,1.000000
11s_pose_from_11m_768.engine,research/pose/11s-pose/distilled_input/768/11s_pose_from_11m_768.engine_benchmark.json,0.995000,0.982452,0.998167,1.000000,19.69,50.80,65.83,7.19,3.81,10.12,53.77,,,,,research/pose/11s-pose/distilled_input/768/11s_pose_from_11m_768_engine_validation2.json,0.995000,0.970437,0.999193,1.000000
11s_pose_from_11l_960.engine,research/pose/11s-pose/distilled_input/960/11s_pose_from_11l_960.engine_benchmark.json,0.995000,0.960164,0.998025,1.000000,11.81,84.70,73.56,5.17,3.84,10.41,53.87,,,,,research/pose/11s-pose/distilled_input/960/11s_pose_from_11l_960_engine_validation2.json,0.995000,0.960160,0.999093,1.000000
11s_pose_from_11m_960.engine,research/pose/11s-pose/distilled_input/960/11s_pose_from_11m_960.engine_benchmark.json,0.995000,0.969691,0.998177,1.000000,11.95,83.70,72.40,5.22,3.83,10.47,54.24,,,,,research/pose/11s-pose/distilled_input/960/11s_pose_from_11m_960_engine_validation2.json,0.995000,0.965264,0.999105,1.000000
26m_pose_from_26l_640.engine,research/pose/26m-pose/distilled_input/640/26m_pose_from_26l_640.engine_benchmark.json,0.956823,0.644528,0.838894,0.928571,24.72,40.46,70.15,6.53,4.23,13.15,53.01,,,,,research/pose/26m-pose/distilled_input/640/26m_pose_from_26l_640_engine_validation2.json,0.938227,0.630360,0.798172,0.956832
26m_pose_from_26x_640.engine,research/pose/26m-pose/distilled_input/640/26m_pose_from_26x_640.engine_benchmark.json,0.993966,0.705026,0.959816,1.000000,24.43,40.93,69.33,6.85,4.23,12.92,56.72,,,,,research/pose/26m-pose/distilled_input/640/26m_pose_from_26x_640_engine_validation2.json,0.981117,0.703813,0.941582,0.951613
26m_pose_from_26l_768.engine,research/pose/26m-pose/distilled_input/768/26m_pose_from_26l_768.engine_benchmark.json,0.988277,0.779999,1.000000,0.909050,16.95,58.99,65.84,5.95,4.23,13.63,58.38,,,,,research/pose/26m-pose/distilled_input/768/26m_pose_from_26l_768_engine_validation2.json,0.972710,0.776145,0.893044,0.942764
26m_pose_from_26x_768.engine,research/pose/26m-pose/distilled_input/768/26m_pose_from_26x_768.engine_benchmark.json,0.963981,0.775202,0.961313,0.887624,16.92,59.11,71.59,5.94,4.22,13.59,58.68,,,,,research/pose/26m-pose/distilled_input/768/26m_pose_from_26x_768_engine_validation2.json,0.975537,0.776404,0.965347,0.898676
26m_pose_from_26l_960.engine,research/pose/26m-pose/distilled_input/960/26m_pose_from_26l_960.engine_benchmark.json,0.985345,0.808684,0.934069,1.000000,11.38,87.89,78.14,4.73,4.22,14.46,58.69,,,,,research/pose/26m-pose/distilled_input/960/26m_pose_from_26l_960_engine_validation2.json,0.983689,0.802647,0.920596,1.000000
26m_pose_from_26x_960.engine,research/pose/26m-pose/distilled_input/960/26m_pose_from_26x_960.engine_benchmark.json,0.945659,0.790674,0.915150,0.857143,11.37,87.96,74.69,4.77,4.23,14.47,59.54,,,,,research/pose/26m-pose/distilled_input/960/26m_pose_from_26x_960_engine_validation2.json,0.942822,0.750981,0.863735,0.838710
26n_pose_from_26l_640.engine,research/pose/26n-pose/distilled_input/640/26n_pose_from_26l_640.engine_benchmark.json,0.992586,0.982037,0.964631,1.000000,59.79,16.73,39.38,13.38,4.23,9.07,53.09,,,,,research/pose/26n-pose/distilled_input/640/26n_pose_from_26l_640_engine_validation2.json,0.994365,0.989949,0.983352,1.000000
26n_pose_from_26m_640.engine,research/pose/26n-pose/distilled_input/640/26n_pose_from_26m_640.engine_benchmark.json,0.992097,0.980120,0.998709,0.964286,60.28,16.59,39.82,15.78,4.01,9.24,52.28,,,,,research/pose/26n-pose/distilled_input/640/26n_pose_from_26m_640_engine_validation2.json,0.993795,0.987731,0.981956,0.983871
26n_pose_from_26s_640.engine,research/pose/26n-pose/distilled_input/640/26n_pose_from_26s_640.engine_benchmark.json,0.995000,0.982532,0.998072,1.000000,60.18,16.62,38.21,12.00,4.00,9.05,51.63,,,,,research/pose/26n-pose/distilled_input/640/26n_pose_from_26s_640_engine_validation2.json,0.995000,0.986751,1.000000,0.999636
26n_pose_from_26x_640.engine,research/pose/26n-pose/distilled_input/640/26n_pose_from_26x_640.engine_benchmark.json,0.995000,0.975076,0.996705,1.000000,60.54,16.52,40.88,11.92,4.00,9.03,51.89,,,,,research/pose/26n-pose/distilled_input/640/26n_pose_from_26x_640_engine_validation2.json,0.994841,0.982302,0.996083,0.983871
26n_pose_from_26l_768.engine,research/pose/26n-pose/distilled_input/768/26n_pose_from_26l_768.engine_benchmark.json,0.993966,0.989036,0.996303,0.964286,39.52,25.30,43.02,11.31,3.91,9.32,53.03,,,,,research/pose/26n-pose/distilled_input/768/26n_pose_from_26l_768_engine_validation2.json,0.993931,0.990069,0.998303,0.967742
26n_pose_from_26m_768.engine,research/pose/26n-pose/distilled_input/768/26n_pose_from_26m_768.engine_benchmark.json,0.995000,0.989766,0.997313,1.000000,39.61,25.24,40.35,11.12,3.89,9.37,52.50,,,,,research/pose/26n-pose/distilled_input/768/26n_pose_from_26m_768_engine_validation2.json,0.995000,0.986464,0.997742,1.000000
26n_pose_from_26s_768.engine,research/pose/26n-pose/distilled_input/768/26n_pose_from_26s_768.engine_benchmark.json,0.995000,0.991950,0.987793,1.000000,39.42,25.37,42.97,11.09,3.88,9.37,52.39,,,,,research/pose/26n-pose/distilled_input/768/26n_pose_from_26s_768_engine_validation2.json,0.995000,0.992435,0.994381,1.000000
26n_pose_from_26x_768.engine,research/pose/26n-pose/distilled_input/768/26n_pose_from_26x_768.engine_benchmark.json,0.993966,0.993966,0.959919,1.000000,39.48,25.33,42.38,11.11,3.90,9.39,52.59,,,,,research/pose/26n-pose/distilled_input/768/26n_pose_from_26x_768_engine_validation2.json,0.994524,0.992919,0.980102,1.000000
26n_pose_from_26l_960.engine,research/pose/26n-pose/distilled_input/960/26n_pose_from_26l_960.engine_benchmark.json,0.993966,0.983239,0.963222,1.000000,27.99,35.73,50.11,9.72,3.94,10.25,53.38,,,,,research/pose/26n-pose/distilled_input/960/26n_pose_from_26l_960_engine_validation2.json,0.994688,0.980217,0.993408,0.983871
26n_pose_from_26m_960.engine,research/pose/26n-pose/distilled_input/960/26n_pose_from_26m_960.engine_benchmark.json,0.995000,0.985916,1.000000,0.998593,28.03,35.68,38.21,9.67,3.98,10.24,53.72,,,,,research/pose/26n-pose/distilled_input/960/26n_pose_from_26m_960_engine_validation2.json,0.993254,0.987433,0.984117,0.999365
26n_pose_from_26s_960.engine,research/pose/26n-pose/distilled_input/960/26n_pose_from_26s_960.engine_benchmark.json,0.993966,0.991071,0.962850,1.000000,27.92,35.82,46.13,9.68,3.90,10.21,54.06,,,,,research/pose/26n-pose/distilled_input/960/26n_pose_from_26s_960_engine_validation2.json,0.993904,0.988413,1.000000,0.962056
26n_pose_from_26x_960.engine,research/pose/26n-pose/distilled_input/960/26n_pose_from_26x_960.engine_benchmark.json,0.995000,0.986779,0.998469,1.000000,27.97,35.75,44.35,9.76,4.01,10.25,52.85,,,,,research/pose/26n-pose/distilled_input/960/26n_pose_from_26x_960_engine_validation2.json,0.995000,0.988118,1.000000,0.999682
26s_pose_from_26l_640.engine,research/pose/26s-pose/distilled_input/640/26s_pose_from_26l_640.engine_benchmark.json,0.975511,0.877231,0.870043,1.000000,41.21,24.27,51.66,9.46,4.23,10.77,55.82,,,,,research/pose/26s-pose/distilled_input/640/26s_pose_from_26l_640_engine_validation2.json,0.983794,0.888848,0.882558,1.000000
26s_pose_from_26m_640.engine,research/pose/26s-pose/distilled_input/640/26s_pose_from_26m_640.engine_benchmark.json,0.990500,0.912109,0.948643,0.964286,41.24,24.25,50.00,9.34,4.23,10.79,54.70,,,,,research/pose/26s-pose/distilled_input/640/26s_pose_from_26m_640_engine_validation2.json,0.959998,0.868040,0.882565,0.969747
26s_pose_from_26x_640.engine,research/pose/26s-pose/distilled_input/640/26s_pose_from_26x_640.engine_benchmark.json,0.938754,0.867401,0.883070,0.809472,41.28,24.22,49.79,9.39,4.22,10.81,54.79,,,,,research/pose/26s-pose/distilled_input/640/26s_pose_from_26x_640_engine_validation2.json,0.932153,0.839803,0.892342,0.802190
26s_pose_from_26l_768.engine,research/pose/26s-pose/distilled_input/768/26s_pose_from_26l_768.engine_benchmark.json,0.995000,0.936269,1.000000,0.990532,27.42,36.46,58.49,8.61,4.23,11.17,55.33,,,,,research/pose/26s-pose/distilled_input/768/26s_pose_from_26l_768_engine_validation2.json,0.992342,0.919447,1.000000,0.952448
26s_pose_from_26m_768.engine,research/pose/26s-pose/distilled_input/768/26s_pose_from_26m_768.engine_benchmark.json,0.978868,0.913876,0.906481,0.928571,27.40,36.50,59.84,8.58,4.23,11.18,55.73,,,,,research/pose/26s-pose/distilled_input/768/26s_pose_from_26m_768_engine_validation2.json,0.976933,0.901535,0.896564,0.978677
26s_pose_from_26x_768.engine,research/pose/26s-pose/distilled_input/768/26s_pose_from_26x_768.engine_benchmark.json,0.990500,0.905802,0.921555,1.000000,27.39,36.51,53.58,8.62,4.23,11.20,55.16,,,,,research/pose/26s-pose/distilled_input/768/26s_pose_from_26x_768_engine_validation2.json,0.982734,0.889714,0.924203,0.983871
26s_pose_from_26l_960.engine,research/pose/26s-pose/distilled_input/960/26s_pose_from_26l_960.engine_benchmark.json,0.985343,0.911599,0.940711,0.928571,18.89,52.94,67.70,7.13,4.22,12.19,56.04,,,,,research/pose/26s-pose/distilled_input/960/26s_pose_from_26l_960_engine_validation2.json,0.990372,0.914674,0.951940,0.958492
26s_pose_from_26m_960.engine,research/pose/26s-pose/distilled_input/960/26s_pose_from_26m_960.engine_benchmark.json,0.992586,0.904237,0.965139,0.989042,18.85,53.05,58.36,7.16,4.23,12.13,56.47,,,,,research/pose/26s-pose/distilled_input/960/26s_pose_from_26m_960_engine_validation2.json,0.985525,0.907853,0.925193,0.997428
26s_pose_from_26x_960.engine,research/pose/26s-pose/distilled_input/960/26s_pose_from_26x_960.engine_benchmark.json,0.982025,0.920355,0.899399,0.958062,18.83,53.11,62.17,7.15,4.24,12.15,56.59,,,,,research/pose/26s-pose/distilled_input/960/26s_pose_from_26x_960_engine_validation2.json,0.979777,0.903660,0.921710,0.949468
11n_DS3_from_11l_640_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/640/11n_DS3_from_11l_640_fp16.engine_benchmark.json,0.879237,0.647342,0.923400,0.847823,78.46,12.75,22.34,15.26,4.39,7.35,49.38,,,,,,,,,
11n_DS3_from_11m_640_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/640/11n_DS3_from_11m_640_fp16.engine_benchmark.json,0.909677,0.651826,0.907469,0.870248,78.95,12.67,21.83,15.28,4.38,7.35,49.98,,,,,,,,,
11n_DS3_from_11s_640_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/640/11n_DS3_from_11s_640_fp16.engine_benchmark.json,0.892216,0.640198,0.899893,0.854489,77.08,12.97,22.10,15.27,4.39,7.31,49.17,,,,,,,,,
11n_DS3_from_11x_640_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/640/11n_DS3_from_11x_640_fp16.engine_benchmark.json,0.881878,0.630303,0.959078,0.838431,77.56,12.89,21.66,15.32,4.40,7.33,49.06,,,,,,,,,
11n_DS3_from_11l_768_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/768/11n_DS3_from_11l_768_fp16.engine_benchmark.json,0.932030,0.740874,0.927563,0.911900,52.81,18.94,23.05,14.86,4.39,7.51,49.19,,,,,,,,,
11n_DS3_from_11m_768_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/768/11n_DS3_from_11m_768_fp16.engine_benchmark.json,0.929862,0.729162,0.949014,0.883751,53.14,18.82,23.77,14.75,4.38,7.51,49.67,,,,,,,,,
11n_DS3_from_11s_768_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/768/11n_DS3_from_11s_768_fp16.engine_benchmark.json,0.934374,0.735902,0.962859,0.903975,53.03,18.86,24.22,14.82,4.38,7.50,48.94,,,,,,,,,
11n_DS3_from_11x_768_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/768/11n_DS3_from_11x_768_fp16.engine_benchmark.json,0.911672,0.723586,0.918956,0.882642,53.18,18.80,23.84,14.79,4.39,7.52,49.09,,,,,,,,,
11n_DS3_from_11l_960_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/960/11n_DS3_from_11l_960_fp16.engine_benchmark.json,0.955623,0.794105,0.984822,0.931530,40.48,24.70,28.29,13.81,4.38,8.17,50.23,,,,,,,,,
11n_DS3_from_11m_960_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/960/11n_DS3_from_11m_960_fp16.engine_benchmark.json,0.951749,0.799806,0.989849,0.914984,40.85,24.48,28.87,13.79,4.37,8.20,50.42,,,,,,,,,
11n_DS3_from_11s_960_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/960/11n_DS3_from_11s_960_fp16.engine_benchmark.json,0.953364,0.806598,0.984967,0.931951,40.49,24.69,26.98,13.80,4.38,8.16,50.48,,,,,,,,,
11n_DS3_from_11x_960_fp16.engine,research/object/11n_DS3/distilled_quantized_input/FP16/960/11n_DS3_from_11x_960_fp16.engine_benchmark.json,0.954127,0.799043,0.978572,0.930900,40.92,24.44,28.20,13.75,4.38,8.19,49.91,,,,,,,,,
11s_DS3_from_11l_640_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/640/11s_DS3_from_11l_640_fp16.engine_benchmark.json,0.918175,0.705100,0.970720,0.846123,64.90,15.41,32.61,13.76,4.38,8.48,50.89,,,,,,,,,
11s_DS3_from_11m_640_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/640/11s_DS3_from_11m_640_fp16.engine_benchmark.json,0.920231,0.706134,0.945747,0.867434,64.91,15.41,33.20,13.76,4.38,8.49,50.89,,,,,,,,,
11s_DS3_from_11x_640_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/640/11s_DS3_from_11x_640_fp16.engine_benchmark.json,0.929485,0.698225,0.960893,0.871598,64.09,15.60,28.66,13.77,4.38,8.47,50.44,,,,,,,,,
11s_DS3_from_11l_768_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/768/11s_DS3_from_11l_768_fp16.engine_benchmark.json,0.944667,0.794839,0.984094,0.881720,43.62,22.92,31.21,13.17,4.37,8.83,52.11,,,,,,,,,
11s_DS3_from_11m_768_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/768/11s_DS3_from_11m_768_fp16.engine_benchmark.json,0.942116,0.787712,0.931476,0.897586,44.10,22.68,29.49,13.12,4.39,8.84,51.70,,,,,,,,,
11s_DS3_from_11x_768_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/768/11s_DS3_from_11x_768_fp16.engine_benchmark.json,0.945460,0.784100,0.962428,0.915978,44.01,22.72,31.42,13.13,4.38,8.84,51.78,,,,,,,,,
11s_DS3_from_11l_960_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/960/11s_DS3_from_11l_960_fp16.engine_benchmark.json,0.957321,0.840320,0.976176,0.924775,32.79,30.50,40.44,11.90,4.29,9.80,52.27,,,,,,,,,
11s_DS3_from_11m_960_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/960/11s_DS3_from_11m_960_fp16.engine_benchmark.json,0.952189,0.841288,0.969732,0.918841,32.88,30.42,39.87,11.91,4.30,9.76,53.08,,,,,,,,,
11s_DS3_from_11x_960_fp16.engine,research/object/11s_DS3/distilled_quantized_input/FP16/960/11s_DS3_from_11x_960_fp16.engine_benchmark.json,0.954754,0.830146,0.983773,0.931593,32.82,30.47,36.36,11.93,4.38,9.75,53.13,,,,,,,,,
26m_DS3_from_26l_640_fp16.engine,research/object/26m/distilled_quantized_input/FP16/640/26m_DS3_from_26l_640_fp16.engine_benchmark.json,0.948948,0.763466,0.995768,0.934000,49.74,20.10,49.03,10.60,4.38,10.91,52.93,,,,,,,,,
26m_DS3_from_26x_640_fp16.engine,research/object/26m/distilled_quantized_input/FP16/640/26m_DS3_from_26x_640_fp16.engine_benchmark.json,0.951317,0.764549,0.993013,0.931207,50.00,20.00,49.82,10.56,4.38,10.88,54.42,,,,,,,,,
