replay_dir,rank_group,rank_number,batch_dir,within_rank_position,combo_name,mAP1-5,mAP1,mAP2,mAP3,mAP4,mAP5,runtime_fps,average_latency_ms
replay_20260319_204802,rank_07,7,batch_20260320_031014,5,obj26s_baseline_pose26n_kd26x_p80_fp16,0.565694,0.51339,0.515079,0.6,0.6,0.6,6.1332,160.4539
replay_20260319_204802,rank_07,7,batch_20260320_031014,6,obj26m_p80_fp16_pose26n_fp16,0.547263,0.402302,0.537392,0.537392,0.603014,0.656217,6.2548,157.1329
replay_20260319_204802,rank_07,7,batch_20260320_031014,7,obj26s_baseline_pose26n_fp16,0.533624,0.483107,0.485014,0.566667,0.566667,0.566667,5.9751,164.7435
replay_20260319_204802,rank_07,7,batch_20260320_031014,8,obj26s_fp16_pose26n_kd26x_p80_fp16,0.530792,0.47598,0.477979,0.566667,0.566667,0.566667,7.2928,134.6238
replay_20260319_204802,rank_07,7,batch_20260320_031014,9,obj26s_baseline_pose26n_p80_fp16,0.513426,0.451212,0.451212,0.531373,0.566667,0.566667,6.1147,160.9326
replay_20260319_204802,rank_07,7,batch_20260320_031014,10,obj26s_fp16_pose26n_p80_fp16,0.508431,0.440686,0.440686,0.527451,0.566667,0.566667,7.2805,134.886
replay_20260319_204802,rank_08,8,batch_20260320_041353,1,obj26m_p80_fp16_pose26n_p80_fp16,0.694133,0.530587,0.667857,0.754167,0.754167,0.763889,6.4792,151.7539
replay_20260319_204802,rank_08,8,batch_20260320_041353,2,obj26l_fp16_pose26n_fp16,0.624083,0.479302,0.638889,0.638889,0.681667,0.681667,5.5534,176.6259
replay_20260319_204802,rank_08,8,batch_20260320_041353,3,obj26l_fp16_pose26n_kd_p80_int8,0.617737,0.351671,0.562795,0.700605,0.736807,0.736807,5.7535,171.0785
replay_20260319_204802,rank_08,8,batch_20260320_041353,4,obj26m_p80_fp16_pose26n_fp16,0.565730,0.415509,0.57155,0.57155,0.609388,0.660652,6.2605,157.1359
replay_20260319_204802,rank_08,8,batch_20260320_041353,5,obj26s_baseline_pose26n_kd26x_p80_fp16,0.565694,0.51339,0.515079,0.6,0.6,0.6,6.1242,160.6817
replay_20260319_204802,rank_08,8,batch_20260320_041353,6,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.558618,0.394667,0.495958,0.587687,0.65739,0.65739,6.3432,155.0747
replay_20260319_204802,rank_08,8,batch_20260320_041353,7,obj26s_baseline_pose26n_fp16,0.533624,0.483107,0.485014,0.566667,0.566667,0.566667,5.9623,165.0713
replay_20260319_204802,rank_08,8,batch_20260320_041353,8,obj26s_fp16_pose26n_kd26x_p80_fp16,0.530792,0.47598,0.477979,0.566667,0.566667,0.566667,7.3136,134.2647
replay_20260319_204802,rank_08,8,batch_20260320_041353,9,obj26s_baseline_pose26n_p80_fp16,0.512400,0.448648,0.448648,0.531373,0.566667,0.566667,6.1282,160.5676
replay_20260319_204802,rank_08,8,batch_20260320_041353,10,obj26s_fp16_pose26n_p80_fp16,0.508431,0.440686,0.440686,0.527451,0.566667,0.566667,7.2571,135.3062
replay_20260319_204802,rank_09,9,batch_20260320_051731,1,obj26m_p80_fp16_pose26n_p80_fp16,0.676468,0.460534,0.66233,0.749777,0.749777,0.759922,6.476,151.8496
replay_20260319_204802,rank_09,9,batch_20260320_051731,2,obj26l_fp16_pose26n_fp16,0.625035,0.484064,0.638889,0.638889,0.681667,0.681667,5.5367,177.3605
replay_20260319_204802,rank_09,9,batch_20260320_051731,3,obj26l_fp16_pose26n_kd_p80_int8,0.621100,0.380114,0.562125,0.698372,0.732446,0.732446,5.7311,171.7622
replay_20260319_204802,rank_09,9,batch_20260320_051731,4,obj26m_p80_fp16_pose26n_fp16,0.576665,0.470185,0.57155,0.57155,0.609388,0.660652,6.2591,157.1782
replay_20260319_204802,rank_09,9,batch_20260320_051731,5,obj26s_baseline_pose26n_kd_p80_int8,0.561356,0.447521,0.559259,0.6,0.6,0.6,6.2305,157.8861
replay_20260319_204802,rank_09,9,batch_20260320_051731,6,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.558618,0.394667,0.495958,0.587687,0.65739,0.65739,6.4183,153.2091
replay_20260319_204802,rank_09,9,batch_20260320_051731,7,obj26s_baseline_pose26n_fp16,0.532278,0.478758,0.482633,0.566667,0.566667,0.566667,5.9755,164.7053
replay_20260319_204802,rank_09,9,batch_20260320_051731,8,obj26s_baseline_pose26n_kd26x_p80_fp16,0.531860,0.478758,0.480543,0.566667,0.566667,0.566667,6.1523,159.9428
replay_20260319_204802,rank_09,9,batch_20260320_051731,9,obj26m_p80_fp16_pose26n_kd_p80_int8,0.517387,0.359711,0.498599,0.527171,0.58549,0.615966,6.5339,150.4322
replay_20260319_204802,rank_09,9,batch_20260320_051731,10,obj26s_baseline_pose26n_p80_fp16,0.512400,0.448648,0.448648,0.531373,0.566667,0.566667,6.1302,160.5175
replay_20260319_204802,rank_10,10,batch_20260320_062108,1,obj26m_p80_fp16_pose26n_p80_fp16,0.693126,0.489077,0.713536,0.750957,0.750957,0.761101,6.5559,149.9934
replay_20260319_204802,rank_10,10,batch_20260320_062108,2,obj26l_fp16_pose26n_kd_p80_int8,0.617471,0.346735,0.563795,0.701448,0.737688,0.737688,5.7375,171.5535
replay_20260319_204802,rank_10,10,batch_20260320_062108,3,obj26l_fp16_pose26n_fp16,0.597478,0.471012,0.607536,0.607536,0.650652,0.650652,5.6201,174.6985
replay_20260319_204802,rank_10,10,batch_20260320_062108,4,obj26m_p80_fp16_pose26n_fp16,0.575184,0.467407,0.569235,0.569235,0.609388,0.660652,6.2576,157.2179
replay_20260319_204802,rank_10,10,batch_20260320_062108,5,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.570276,0.414815,0.513535,0.599091,0.66197,0.66197,6.515,150.9505
replay_20260319_204802,rank_10,10,batch_20260320_062108,6,obj26s_baseline_pose26n_fp16,0.532278,0.478758,0.482633,0.566667,0.566667,0.566667,5.9847,164.4539
replay_20260319_204802,rank_10,10,batch_20260320_062108,7,obj26s_baseline_pose26n_kd26x_p80_fp16,0.531860,0.478758,0.480543,0.566667,0.566667,0.566667,6.1323,160.4863
replay_20260319_204802,rank_10,10,batch_20260320_062108,8,obj26l_fp16_pose26n_kd26x_p80_fp16,0.523929,0.453582,0.536159,0.543301,0.543301,0.543301,5.7487,171.2929
replay_20260319_204802,rank_10,10,batch_20260320_062108,9,obj26m_p80_fp16_pose26n_kd_p80_int8,0.522221,0.372514,0.504495,0.531767,0.586555,0.615775,6.5052,151.1798
